år;prisindeks;byggeomkostninger;rente
1992;33,908948;74,6;9,7254
1993;31,318681;75,9;9,4345667
1994;37,519623;77,3;7,2313333
1995;36,263736;80,5;9,9658
1996;39,638932;82,4;8,5521667
1997;41,051805;84,6;7,8202667
1998;49,843014;86,8;6,7830769
1999;62,401884;91;6,0792308
2000;68,99529;91,3;7,4230769
2001;82,967033;95,9;7,0584615
2002;92,857143;98;6,4476923
2003;100;100;5,4276923
2004;112,2449;100,6;5,2530769
2005;136,18524;104,3;4,4869231
2006;196,38932;108,4;4,6492308
2007;173,94035;115,4;5,2330769
2008;172,99843;121,3;5,7853846
2009;139,40345;122,9;6,1192308
2010;167,11146;121,8;4,9823077
2011;174,96075;124,9;4,8561538
2012;165,5416;129,4;3,9715385
2013;184,85086;130,7;3,4034654
2014;189,48195;132,8;3,4890985
2015;198,9011;133,7;2,3308215
